sep=,
Time [ms],O2 [counts]
74425.664,206
78443.680,209
82461.695,210
86479.711,207
90497.727,208
94515.742,209
98535.805,209
102553.820,207
106571.840,206
110589.850,210
114607.870,208
118625.880,207
122645.950,208
126663.960,208
130681.980,209
134697.950,210
138713.920,211
142729.890,209
146745.860,206
150761.830,205
154777.800,209
158791.720,207
162807.690,208
166823.660,208
170839.630,209
174855.590,210
178871.560,210
182887.530,208
186903.500,209
190919.470,209
194935.440,210
198949.360,209
202965.330,207
206981.300,209
210997.270,209
215013.230,209
219029.200,209
223045.170,208
227061.140,206
231077.110,207
235093.080,209
239107.000,207
243122.970,208
247138.940,209
251154.910,208
255170.880,205
259186.840,199
263210.910,199
267257.530,200
271306.220,201
275352.840,199
279399.470,199
283448.160,197
287494.780,201
291543.470,199
295590.090,199
299636.720,196
303685.410,198
307732.030,199
311778.660,198
315827.340,197
319873.970,197
323922.660,199
327969.280,199
332015.910,197
336064.590,198
340111.220,195
344157.840,196
348206.530,197
352253.160,196
356299.780,200
360348.470,198
364395.090,196
368443.780,197
372490.410,199
376537.030,196
380585.720,200
384632.340,198
388678.970,197
392727.660,197
396774.280,199
400820.910,206
404869.590,207
408916.220,204
412964.910,209
417011.530,207
421058.160,208
425106.840,208
429153.470,209
433200.090,207
437248.780,206
441295.410,210
445342.030,209
449390.720,208
453437.340,206
457483.970,208
461532.660,205
465579.280,207
469627.970,206
473674.590,209
477721.220,210
481769.910,210
485816.530,206
489863.160,206
493911.840,210
497958.470,207
502007.160,206
506053.780,206
510100.410,206
514149.090,207
518195.720,207
522242.340,207
